,QUE,OPT,ANS
16,"Three friends started running together on a circular track at 8:00:00 am. Time taken by them to complete one round of the track is 15 min, 20 min, 30 min respectively. If they run continuously without any halts, then at what time will they meet again at the starting point for the fourth time ?","['8:30:00 am', '9:00:00 pm', '12:00:00 pm', '12:00:00 am']",2
17,"Two pipes A and B attached to a swimming pool can fill the pool in 20 minutes and 30 minutes respectively working alone. Both were opened together but due to malfunctioning of motor of pipe A, it had to be shut down after two minutes but B continued to work till the swimming pool was filled completely. Find the total time taken to fill the pool.","['20', '22', '25', '27']",3
18,Samuel covers the distance from his home to his office at a speed of 25 km/hr and comes back at a speed of 4 km/hr. He completes the whole journey within 5 hours 48 minutes. Find out the distance from his home to office:,"['20 km', '18 km', '15 km', '25 km']",0
19,A boatman takes 3 hours 45 minutes to travel 15 km downstream and takes 2 hours 30 minutes to travel 5 km upstream of a river. What is the speed of the stream of the river in km/h?,"['2 km/h', '1 km/h', '6 km/h', '4 km/h']",1
20,John earns 33.33% more than Peter. By what percentage is Peter’s earning less than that of John’s?,"['22 %', '25 %', '26 %', '23 %']",1
21,If the sum of two numbers is 13 and the sum of their square is 85. Find the numbers?,"['6, 7', '5, 8', '4, 9', '3, 10']",0
22,"HCF of two numbers is 11 and their LCM is 385. If the numbers do not differ by more than 50, what is the sum of the two numbers ?","['132', '35', '12', '36']",0
23,The LCM of two co-prime numbers is 117. What is the sum of squares of the numbers ?,"['220', '1530', '250', '22']",2
24,"Three pipes A, B and C were opened to fill a cistern. Working alone, A, B and C require 12, 15 and 20 minutes respectively. After 4 minutes of working together, A got blocked and after another 1 minute, B also got blocked. C continued to work till the end and the cistern got completely filled. What is the total time taken to fill the cistern ?","['6 minutes', '6 minutes 15 seconds', '6 minutes 40 seconds', '6 minutes 50 seconds']",2
25,"If John walks at the speed of 5 km/h, he reaches his office 7 minutes late. However, if he walks at a speed of 6 km/h, he reaches his office 5 minutes early. How far is his office from his home?","['9', '8', '10', '6']",3
26,A speedboat runs 6 km upstream in a river and comes back to the starting point in 33 minutes. The stream of the river is running at 2 km/hr. What is the speed of speedboat in still water?,"['25 km/h', '21 km/h', '26 km/h', '22 km/h']",3
27,Mary’s salary is reduced by 10%. By what percentage must her new salary be increased in order to gain her old salary?,"['137/9 % ', '194/9 % ', '100/9 % ', '110/9 % ']",2
28,The difference between a two-digit number and the number obtained by interchanging the positions of its digits is 45. What is the difference between the two digits of that number?,"['5', '7', '6', 'None of these']",0
29,"Two numbers are in the ratio of 5:7. If their LCM is 105, what is the difference between their squares ?","['216', '210', '72', '840']",0
30,"Three people A, B and C working individually can finish a job in 10, 12 and 20 days respectively. They decided to work together but after 2 days, A left the work and after another one day, B also left work. If they got two lacs collectively for the entire work, find the difference of the highest and lowest share.","['70000', '60000', '10000', '20000']",0
31,"Three pipes A, B and C are connected to a tank. Working alone, they require 10 hours, 20 hours and 30 hours respectively. After some time, A is closed and after another 2 hours, B is also closed. C works for another 14 hours so that the tank gets filled completely. Find the time (in hours) after which pipe A was closed.","['1', '1.5', '2', '3']",2
32,"A policeman sees a thief at a distance of 100 meters and starts to chase him. The thief sees him and starts to run too. If the thief is running at the speed of 8 km/hr and the policeman is running at the speed of 10 km/hr, find out the distance covered by the thief before the policeman catches him.","['250 meters', '400 meters', '450 meters', '350 meters']",1
33,"A boat runs at the speed of 13 km/h in still water. If the speed of the stream is 4 km/h, how much time will it take to go 68 km downstream?","['5 h', '4 h', '6 h', '3 h']",1
34,"The price of sugar is decreased by 10%. As a consequence, monthly sales is increased by 30%. Find out the percentage increase in monthly revenue.","['17 %', '19 %', '18 %', 'None of these']",0
35,"A two-digit number is such that the product of the digits is 12. When 9 is subtracted from the number, the digits are reversed. The number is:","['34', '62', '43', '26']",2
36,"Which is the largest number that divides 17, 23, 35, 59 to leave the same remainder in each case ?","['2', '3', '6', '12']",2
37,"Working alone, two pipes A and B require 9 hours and 6.25 hours more respectively to fill a pool than if they were working together. Find the total time taken to fill the pool if both were working together.","['6', '6.5', '7', '7.5']",3
38,Paul has to travel 24 km. After walking for 1 hour 40 minutes he sees that he has covered 5/7 of the distance left to cover. Find out Paul’s speed in meters per second.,"['5/3 m/s', '7/5 m/s', '2/3 m/s', '8/5 m/s']",0
39,"Peter’s speedboat run at a speed of 9 km/h in still water. He rows to a place at a distance of 105 km and comes back to the starting point. If the speed of the stream is 1.5 km/h, find out the time taken by Peter.","['24 h', '21 h', '23 h', '22 h']",0
40,Jack consumes 75% of his salary. Later his salary is increased by 20% and he increases his expenditures by 10%. Find the percentage increase in his savings.,"['51 %', '60 %', '50 %', '55 %']",2
41,Find a positive number which when increased by 16 is equal to 80 times the reciprocal of the number,"['20', '-4', '-10', '4']",3
42,"The LCM. of two numbers is 30 and their HCF. is 15. If one of the numbers is 30, then what is the other number?","['30', '25', '15', '20']",2
43,Which of the following is the largest of all ?,"['7/8', '15/16', '23/24', '31/32']",3
44,"Three pipes A, B and C were opened to fill a cistern. Working alone, A, B and C require 12, 15 and 20 minutes respectively. Another pipe D, which is a waste pipe, can empty the filled tank in 30 minutes working alone. What is the total time (in minutes) taken to fill the cistern if all the pipes are simultaneously opened ?","['5', '6', '7', '8']",1
45,"The ratio of the speed of two trains is 7:8. If the second train covers 400 km in 4 h, find out the speed of the first train.","['69.4 km/h', '78.6 km/h', '87.5 km/h', '40.5 km/h']",2
46,"A motorboat crosses a certain distance in 1 hour and comes back in 1½ hours. If the stream is running at 3 km/h, find out the speed of motorboat in still water.","['10 km/h', '15 km/h', '12 km/h', 'None of these']",1
47,"Barack spends Rs 6650 to buy some goods and gets a rebate of 6% on it. After this, he pays a sales tax of 10%. What is his total expenditure?","['Rs 6870.10', 'Rs 6876.10', 'Rs 6865.10', 'Rs 6776.10']",1
48,"What is the sum of two consecutive odd numbers, the difference of whose squares is 56?","['30', '28', '34', '32']",1
49,Express 252 as a product of primes.,"['2 * 2 * 3 * 3 * 7', '3* 3 * 3 * 3 * 7', '2 * 2 * 2* 3 * 7', '2 * 3 * 3 * 3 * 7']",0
50,Two numbers are in the ratio 3 : 5. If their L.C.M. is 75. what is sum of the numbers?,"['25', '45', '40', '50']",2
51,M1 D1 H1 E1 / W1 = M2 D2 H2 E2 / W2,"['40', '44', '64', '80']",1
52,"Three pipes A, B and C were opened to fill a tank. Working alone, A, B and C require 10, 15 and 20 hours respectively. A was opened at 7 AM, B at 8 AM and C at 9 AM. At what time the tank would be completely filled, given that pipe C can only work for 3 hours at a stretch, and needs 1-hour standing time to work again.","['12 : 00 PM', '12 : 30 PM', '1 : 00 PM', '1 : 30 PM']",1
53,"Rajdhani Express halts for 3 minutes every time it covers a distance of 75 km. If the train runs at a speed of 100 km/h and the destination is 600 km away from the source, find out the time taken to reach the destination station from the source station.","['6 h 21 min', '6 h 22 min', '6 h 23 min', '6 h 24 min']",0
54,"A train crosses a pole in 20 sec. If the length of train is 500 meters, what is the speed of the train?","['27 m/s', '20 m/s', '25 m/s', '30 m/s']",2
55,Felix spends 66.66% of his salary and saves Rs 1200 every month. Calculate his monthly expenditure in Rupees.,"['Rs 2402', 'Rs 2400', 'Rs 2401', 'Rs 2405']",1
56,Which of the following has the most number of divisors?,"['99', '101', '176', '182']",2
57,"Ratio of two numbers is 3:2. If LCM of numbers is 60, then smaller number is?","['20', '30', '40', '50']",0
58,=> (Mi Ei) D1 H1 / W1 = (Mj Ej) D2 H2 / W2,"['19', '35', '34', '50']",2
59,"Two pipes A and B can fill a tank in 10 hours and 30 hours respectively. Due to a leak in the tank, it takes 2.5 hours more to fill the tank. How much time would the leak alone will take to empty the tank ?","['20 hours', '25 hours', '30 hours', '35 hours']",2
60,Max completes his journey at an average speed of 9 km/h. He covers the first 9 km at a speed of 6 km/h and he takes 1·5 hours to cover the remaining distance. Find out the speed at which he covered the remaining distance.,"['11 km/h', '12 km/h', '13 km/h', '14 km/h']",1
61,"A train crosses a pole in 10 sec. If the length of train is 100 meters, what is the speed of the train in Kmph?","['34', '36', '30', '32']",1
62,Jack and Robert appeared in an examination. Robert scored 9 marks less than Jack. Jack’s score was 56% of the sum of their scores added together. Calculate their individual scores.,"['22 and 33', '41 and 35', '40 and 35', '42 and 33']",3
63,The average of 21 results is 20. Average of 1st 10 of them is 24 that of last 10 is 14. the result of 11’th is :,"['42', '44', '46', '40']",3
64,A perfect number n is a number which is equal to the sum of its divisors. Which of the following is a perfect number?,"['6', '9', '15', '21']",1
65,Three numbers are in the ratio of 2 : 3 : 4 and their L.C.M. is 240. Their H.C.F. is:,"['40', '20', '30', '10']",1
66,=> (Mi Ei) D1 H1 / W1 =(Mj Ej) D2 H2 / W2,"['1100', '1340', '1300', '1140']",3
67,"TwPeter and Beckon start to walk in the same direction together. If Peter’s speed is 5 km/h and Beckon’s speed is 6 km/h, find out the time duration after which they are 17 km apart.","['15', '17', '19', '20']",1
68,A train is running at a speed of 100Kmph. A car is running on road parallel to the train’s track at a speed of 20 Kmph in the same direction as of train. How much time will it take to cross the car if the length of the train is 100 meters?,"['5 sec', '4 sec', '5.5 sec', '4.5 sec']",3
69,"Ram spends 20% of is salary on food, 15 % of remaining on cloths, and 400 on entertainment. If his salary is 10000, how much he spends on food?","['2000', '3000', '1500', '2500']",0
